dis,ring,wuye,fitment,contype,price,rong,lv,area,ratio
朝阳,四至五环,普通住宅,毛坯,板楼,6200,2.15,35,170000,1
朝阳,四至五环,普通住宅,毛坯,板楼,6200,2.6,62.55,70000,1
朝阳,四至五环,普通住宅,毛坯,板楼,6300,2.23,40,4200,1
朝阳,四至五环,普通住宅,精装修,板楼,6480,1.71,35,115015,1
朝阳,四至五环,普通住宅,毛坯,板楼,7200,0.9,50,15000,1.2
朝阳,四至五环,普通住宅,粗装修,板楼,7800,3.5,37,340000,1
朝阳,四至五环,普通住宅,粗装修,板楼,7800,3.5,37,340000,1
朝阳,四至五环,普通住宅,粗装修,板楼,6100,3.8,45,14000,1
朝阳,四至五环,普通住宅,毛坯,板楼,3800,3.5,30,70000,1
朝阳,四至五环,普通住宅,毛坯,板楼,5880,2.94,35,94000,1
朝阳,四至五环,普通住宅,精装修,板楼,7800,2.28,33,350000,1
朝阳,四至五环,普通住宅,粗装修,板楼,4756,1.2,35,538200,1
朝阳,四至五环,公寓,毛坯,板楼,5800,2.59,38,72138.7,0.562851782
朝阳,四至五环,公寓,毛坯,板楼,6200,3.86,35,330000,1.8
朝阳,四至五环,公寓,毛坯,板楼,8000,2,40,500000,1
朝阳,四至五环,公寓,毛坯,板楼,13000,0.33,80,120400,1
朝阳,四至五环,公寓,毛坯,板楼,8500,0.6,67,280000,1
朝阳,三至四环,普通住宅,毛坯,板楼,7300,2.98,32,280000,1
朝阳,三至四环,公寓,精装修,板楼,18000,2.95,50,30000,1
朝阳,三至四环,公寓,精装修,板楼,10480,6,35,51218,1.13
朝阳,三至四环,公寓,毛坯,板楼,8300,2,75,32000,1.3
朝阳,二至三环,公寓,精装修,板楼,10000,3.56,22,22000,0.462962963
朝阳,二至三环,公寓,精装修,板楼,12000,4.73,26,200000,5.102222222
朝阳,二至三环,公寓,精装修,板楼,13500,3.05,40,320000,0.355555556
朝阳,二至三环,公寓,精装修,板楼,13800,4.9,60,176000,1.666666667
朝阳,二至三环,公寓,精装修,板楼,16000,5.88,30,43000,1.346153846
朝阳,五环以外,普通住宅,毛坯,塔楼,6800,2.6,62,300000,1
朝阳,五环以外,普通住宅,精装修,塔楼,4200,4,50,80000,1
朝阳,五环以外,普通住宅,精装修,塔楼,4500,2.6,40,42445.11,1
朝阳,五环以外,公寓,精装修,塔楼,5380,4,40,240000,1
朝阳,四至五环,普通住宅,毛坯,塔楼,6000,2.8,30,70000,0.666666667
朝阳,四至五环,普通住宅,精装修,塔楼,6200,4.5,31.8,84000,0.388888889
朝阳,四至五环,普通住宅,毛坯,塔楼,6500,0.6,31.7,66000,0.963855422
朝阳,四至五环,普通住宅,毛坯,塔楼,6700,3.4,45,120000,1
朝阳,四至五环,普通住宅,毛坯,塔楼,6000,6,30,23186,0.49
朝阳,四至五环,普通住宅,毛坯,塔楼,5000,3.6,38,82400,1
朝阳,四至五环,普通住宅,精装修,塔楼,5800,2.4,31,120000,1
朝阳,四至五环,普通住宅,毛坯,塔楼,5380,2,30,1300000,1
朝阳,四至五环,公寓,毛坯,塔楼,5600,3,40,3000,1
朝阳,四至五环,公寓,精装修,塔楼,5800,1,42,300000,0.5625
朝阳,四至五环,公寓,精装修,塔楼,8500,10,42,46629.9,0.33
朝阳,四至五环,公寓,毛坯,塔楼,9500,6.7,30,65000,1.030769231
朝阳,四至五环,公寓,精装修,塔楼,7900,5.5,35,10000,0.99
朝阳,三至四环,普通住宅,毛坯,塔楼,7200,2.84,40,360000,1
朝阳,三至四环,公寓,精装修,塔楼,10000,6,43.7,190000,1.328
朝阳,三至四环,公寓,精装修,塔楼,11000,4,40,220000,1
